Position,Sample,Detector,RNA,Ct
B2,Ut,IFN,RT+,31.613037
B3,ZAP,IFN,RT+,41.34059
B4,CT,IFN,RT+,18.095007
B5,5GMP,IFN,RT+,18.371122
B6,10GMP,IFN,RT+,17.964323
B7,20GMP,IFN,RT+,16.9718
B8,NTC,IFN,NA,Undetermined
C2,Ut,IFN,RT+,32.009216
C3,ZAP,IFN,RT+,30.891489
C4,CT,IFN,RT+,17.938786
C5,5GMP,IFN,RT+,18.42215
C6,10GMP,IFN,RT+,17.972517
C7,20GMP,IFN,RT+,16.91169
C8,NTC,IFN,NA,Undetermined
D2,Ut,IFN,RT-,Undetermined
D3,ZAP,IFN,RT-,31.678534
D4,CT,IFN,RT-,Undetermined
D5,5GMP,IFN,RT-,Undetermined
D6,10GMP,IFN,RT-,Undetermined
D7,20GMP,IFN,RT-,Undetermined
F2,Ut,HPRT,RT+,21.240164
F3,ZAP,HPRT,RT+,22.707758
F4,CT,HPRT,RT+,21.14556
F5,5GMP,HPRT,RT+,22.36283
F6,10GMP,HPRT,RT+,22.320986
F7,20GMP,HPRT,RT+,21.479311
F8,NTC,HPRT,NA,Undetermined
G2,Ut,HPRT,RT+,20.256191
G3,ZAP,HPRT,RT+,22.555979
G4,CT,HPRT,RT+,21.073435
G5,5GMP,HPRT,RT+,22.348793
G6,10GMP,HPRT,RT+,22.239523
G7,20GMP,HPRT,RT+,21.49108
G8,NTC,HPRT,NA,Undetermined
